,Overall EITI Report Info,,,,,,,,,EITI Report Coverage of Breakdowns,,,,,,,
Report ID,Period Covered,Country,Region,Publication Date,Sector,Government Revenues (US$),Company Payments (US$),Number of Companies Reporting,Link to Report,By Company,By Commodity,By Revenue Stream,By Rev Stream & Commodity,By Rev Stream & Company,By Project,Is there an SOC?,Are Contracts Disclosed?
CentralAfricanRepublic2010,2010.0,Central African Republic,Africa,December 2012,Mining,20633575.0,20380882.0,8.0,https://eiti.org/files/Central-African-Republic-2010-EITI-Report.pdf,x,,x,,,,,
Chad2007,2007.0,Chad,Africa,October 2012,"Oil, Gas, Mining",1183293262.0,1213159503.0,9.0,http://eiti.org/files/Chad-2007-EITI-Report.pdf,,,x,,,,,
Chad2008,2008.0,Chad,Africa,October 2012,"Oil, Gas, Mining",1908801646.0,1870701903.0,9.0,http://eiti.org/files/Chad-2008-EITI-Report.pdf,,,x,,,,,
Chad2009,2009.0,Chad,Africa,October 2012,"Oil, Gas, Mining",614882373.0,638651484.0,9.0,http://eiti.org/files/Chad-2009-EITI-Report.pdf,,,x,,,,,
Chad2010,2010.0,Chad,Africa,May 2013,"Oil, Gas, Mining",1347744000.0,1358346131.0,9.0,http://eiti.org/files/Chad-2010-EITI-Report.pdf,x,,x,,,,,
Chad2011,2011.0,Chad,Africa,May 2013,"Oil, Gas, Mining",2146562000.0,2225298411.167513,12.0,http://eiti.org/files/Chad-2011-EITI-Report.pdf,x,,x,,,,,
Chad2012,2012.0,Chad,Africa,March 2014,"Oil, Gas, Mining",2109663000.0,2107958000.0,24.0,http://eiti.org/files/Tchad%20EITI%20Report%202012%20RAPPORT%20DE%20RECONCILIATION%20VFIN%20DEFINITIVE%20%205%203%2014_0.pdf,x,,x,,,,,
Coted'Ivoire2006,2006.0,Cote d'Ivoire,Africa,January 2010,"Oil, Gas",84482680.0,69730440.0,5.0,http://eiti.org/files/Cote%20dIvoire%202006-2007%20EITI%20Report.pdf,,,x,,,,,
Coted'Ivoire2007,2007.0,Cote d'Ivoire,Africa,January 2010,"Oil, Gas",121454480.00000001,95440290.00000001,5.0,http://eiti.org/files/Cote%20dIvoire%202006-2007%20EITI%20Report_0.pdf,,,x,,,,,
Coted'Ivoire2008,2008.0,Cote d'Ivoire,Africa,May 2012,"Oil, Gas, Mining",594748911.0,665559303.0,28.0,http://eiti.org/files/Cote-dIvoire-2008-EITI-Report.pdf,,,x,,,,,
Coted'Ivoire2009,2009.0,Cote d'Ivoire,Africa,May 2012,"Oil, Gas, Mining",284861428.97265005,285117107.7502619,28.0,http://eiti.org/files/Cote-dIvoire-2009-EITI-Report.pdf,,,x,,,,,
Coted'Ivoire2010,2010.0,Cote d'Ivoire,Africa,May 2012,"Oil, Gas, Mining",245231916.38661528,268224380.18679258,28.0,http://eiti.org/files/Cote-dIvoire-2010-EITI-Report.pdf,,,x,,,,,
Coted'Ivoire2011,2011.0,Cote d'Ivoire,Africa,May 2013,"Oil, Gas, Mining",389368836.0980392,397882411.3509804,24.0,http://eiti.org/files/Cote-dIvoire-2011-EITI-Report-FR.pdf,,,x,,,,,
Coted'Ivoire2012,2012.0,Coted'Ivoire,Africa,December 2014,"Oil, Gas, Mining",615027475.0,605454283.43,37.0,https://eiti.org/files/CDI%202012%20EITI%20Report%20Final%20MS.pdf,x,,x,,,,,no
DemocraticRepublicofCongo2007,2007.0,Democratic Republic of Congo,Africa,November 2009,"Oil, Gas, Mining",416300000.0,416491000.0,26.0,http://eiti.org/files/DRC%202007%20EITI%20Report.pdf,,,x,,,,,
DemocraticRepublicofCongo2008,2008.0,Democratic Republic of Congo,Africa,January 2012,"Oil, Gas, Mining",516117440.1030104,578201440.1030104,41.0,http://eiti.org/files/DRC%202008-2009%20EITI%20Report.pdf,,,x,,,,,
DemocraticRepublicofCongo2009,2009.0,Democratic Republic of Congo,Africa,January 2012,"Oil, Gas, Mining",253718209.59147424,294456985.7904085,41.0,http://eiti.org/files/DRC%202008-2009%20EITI%20Report_0.pdf,,,x,,,,,
DemocraticRepublicofCongo2010,2010.0,Democratic Republic of Congo,Africa,January 2013,"Oil, Gas, Mining",875938726.0,773021963.0,58.0,http://eiti.org/files/Congo-DRC-2010-EITI-Report-ENG_0.pdf,x,,x,,,,,
DemocraticRepublicofCongo2011,2011.0,Democratic Republic of Congo,Africa,December 2013,"Oil, Gas, Mining",1413126313.0,1408273353.0,106.0,http://www.itierdc.com/Publication_et_rapport/Rapport%20Complementaire%20ITIE-RDC%202011%20-%20version%20anglaise%20%28english%29.pdf,x,,,,,,yes,no
DemocraticRepublicofCongo2012,2012.0,Congo,Africa,December 2014,"Oil, Mining",1505213145.0,1514746636.0,110.0,https://eiti.org/files/Rapport%20de%20Conciliation%20ITIE%20RDC%202012.pdf,x,,x,,,,,no
EquatorialGuinea2007,2007.0,Equatorial Guinea,Africa,,"Oil, Gas",6148771541.760594,4083149750.841968,,,,,,,,,,
EquatorialGuinea2008,2008.0,Equatorial Guinea,Africa,,"Oil, Gas",9119117112.056475,6011049981.865613,,,,,,,,,,
Gabon2004,2004.0,Gabon,Africa,,Oil,775990000.0,808829000.0,,,,,,,,,,
Gabon2005,2005.0,Gabon,Africa,,"Oil, Mining",1716414357.4144487,1748730093.1558936,,,,,,,,,,
Gabon2006,2006.0,Gabon,Africa,,"Oil, Mining",1944187567.1747403,2007587567.17474,,,,,,,,,,
Ghana2004,2004.0,Ghana,Africa,September 2007,Mining,27021531.67,27012825.07,8.0,http://eiti.org/files/Ghana%202004-2008%20EITI%20Report_0.pdf,,,x,,,,no,no
Ghana2005,2005.0,Ghana,Africa,March 2008,Mining,44654643.0,44137187.0,9.0,http://eiti.org/files/Ghana%202005%20EITI%20Report.pdf,x,x,x,x,x,,no,no
Ghana2006,2006.0,Ghana,Africa,August 2010,Mining,66220560.0,66776712.0,11.0,http://eiti.org/files/Ghana%202006%20EITI%20Report.pdf,x,x,x,x,x,,no,no
Ghana2007,2007.0,Ghana,Africa,August 2010,Mining,61767543.0,64548464.0,11.0,http://eiti.org/files/Ghana%202007%20EITI%20Report.pdf,x,x,x,x,x,,no,no
Ghana2008,2008.0,Ghana,Africa,August 2010,Mining,91193482.0,90840454.0,11.0,http://eiti.org/files/Ghana%202008%20EITI%20Report.pdf,x,x,x,x,x,,no,no
Ghana2009,2009.0,Ghana,Africa,August 2011,Mining,111972313.33333333,111975972.38095237,10.0,http://eiti.org/files/Ghana%202009%20EITI%20Report.pdf,x,x,x,x,x,,no,no
Ghana2010,2010.0,Ghana,Africa,February 2013,"Oil, Gas, Mining",212460480.0,192644934.0,18.0,http://eiti.org/files/Ghana-2010-2011-EITI-Report.pdf; http://eiti.org/files/Ghana-2010-2011-Oil%26Gas-EITI-Report.pdf,x,x,x,x,x,,yes,no
Ghana2011,2011.0,Ghana,Africa,February 2013,"Oil, Gas, Mining",942698326.4100001,897711128.0,18.0,http://eiti.org/files/Ghana-2010-2011-EITI-Report.pdf; http://eiti.org/files/Ghana-2010-2011-Oil%26Gas-EITI-Report.pdf,x,x,x,x,x,,yes,no
Ghana2012,2012.0,Ghana,Africa,December 2014,"Oil, Mining",1112429755.66,1110806094.97,18.0,https://eiti.org/files/2012-2013_Final_Oil_and_Gas_Sector_Report_0.pdf,x,,x,,,,,no
Ghana2013,2013.0,Ghana,Africa,December 2014,"Oil, Mining",1269116732.93,1215635816.86,19.0,https://eiti.org/files/2012-2013_Final_Oil_and_Gas_Sector_Report_0.pdf,x,,x,,,,,no
Guatemala2010,2010.0,Guatemala,Latin America and Caribbean,April 2013,"Oil, Gas, Mining",155800631.0,157157449.0,8.0,http://eiti.org/files/Guatemala-2010-2011-EITI-Report-Spanish_0.pdf,,,x,,,,,
Guatemala2011,2011.0,Guatemala,Latin America and Caribbean,May 2013,"Oil, Gas, Mining",224641623.0,224641623.0,8.0,http://eiti.org/files/Guatemala-2010-2011-EITI-Report.pdf,,,x,,,,,
Guinea2005,2005.0,Guinea ,Africa,July 2007,Mining,138153403.0,139444841.0,6.0,http://eiti.org/files/Guinea%202005%20EITI%20Report.pdf,x,,x,,,,no,no
Guinea2006,2006.0,Guinea ,Africa,March 2012,Mining,129435000.0,122473523.42801651,6.0,http://eiti.org/files/Guinea-2006-EITI-Report.pdf,x,,x,,,,,
Guinea2007,2007.0,Guinea ,Africa,August 2012,Mining,171775146.47727105,173554249.65628326,6.0,http://eiti.org/files/Guinea-2007-EITI-Report.pdf,x,,x,,,,,
Guinea2008,2008.0,Guinea ,Africa,August 2012,Mining,211216758.63145587,212638919.54098818,6.0,http://eiti.org/files/Guinea-2008-EITI-Report.pdf,x,,x,,,,,
Guinea2009,2009.0,Guinea ,Africa,August 2012,Mining,204355820.14115614,216639913.76901186,6.0,http://eiti.org/files/Guinea-2009-EITI-Report.pdf,x,,x,,,,,
Guinea2010,2010.0,Guinea ,Africa,August 2012,Mining,218560221.14787036,220836821.31086206,7.0,http://eiti.org/files/Guinea-2010-EITI-Report.pdf,x,,x,,,,,
Guinea2011,2011.0,Guinea ,Africa,December 2013,Mining,975948622.4958882,982235037.0811987,24.0,http://eiti.org/files/Guinea-2011-EITI-Report-FR.pdf,x,,x,,,,,
Guinea2012,2012.0,Guinea ,Africa,December 2013,Mining,371466405.8297514,379858335.16916144,26.0,http://eiti.org/files/Guinea-2012-EITI-Report-FR.pdf,x,,x,,,,,
Indonesia2009,2009.0,Indonesia,East Asia and Pacific,May 2013,"Oil, Gas, Mining",24925055610.0,24682330430.0,126.0,http://eiti.org/files/Indonesia_2009_EITI_Report.pdf,x,,x,,x,x,yes,no
Indonesia2010,2010.0,Indonesia,East Asia and Pacific,May 2014,"Oil, Gas, Mining",32949795856.0,32920365915.0,211.0,http://eiti.org/files/EITI-2010-2011-oil-final.pdf; http://eiti.ekon.go.id/en/laporan-eiti-2010-2011-minerba/?aid=604&sa=1,x,,x,,x,x,yes,no
Indonesia2011,2011.0,Indonesia,East Asia and Pacific,May 2014,"Oil, Gas, Mining",44779611925.0,44689847698.0,233.0,http://eiti.org/files/EITI-2010-2011-oil-final.pdf; http://eiti.ekon.go.id/en/laporan-eiti-2010-2011-minerba/?aid=604&sa=1,x,,x,,x,x,yes,no
Iraq2009,2009.0,Iraq,Middle East and North Africa,November 2011,Oil,41249682456.5,40159269633.4,34.0,http://eiti.org/files/Iraq%202009%20EITI%20Report.pdf,x,,x,,,,yes,no
Iraq2010,2010.0,Iraq,Middle East and North Africa,December 2012,Oil,53852645106.35,54037731812.77,51.0,http://eiti.org/files/IEITI%202010%20English%20Final%20Report%20%2815%20May%202013%29.pdf,x,,x,,x,,yes,no
Iraq2011,2011.0,Iraq,Middle East and North Africa,December 2013,Oil,82986002828.0,81810684105.0,47.0,http://eiti.org/files/Iraq-2011-EITI-Report.pdf,x,,x,,x,,yes,no
Iraq2012,2012.0,Iraq,Middle East and North Africa,December 2014,Oil,94032633453.0,93136980753.0,43.0,https://eiti.org/files/IEITI%20Final%20Report%202012%20%20English.pdf,x,,x,,,,yes,no
Kazakhstan2005,2005.0,Kazakhastan,Europe and Central Asia,November 2007,Oil,2622996991.0,2610384907.0,37.0,https://eiti.org/files/Kazakhstan%202005%20EITI%20Report.pdf,,,x,,,,not specified,no
Kazakhstan2006,2006.0,Kazakhastan,Europe and Central Asia,November 2008,"Oil, Gas",10237431640.0,10113048830.0,103.0,https://eiti.org/files/Kazakhstan%202006%20EITI%20Report.pdf,,,x,,,,not specified,no
Kazakhstan2007,2007.0,Kazakhastan,Europe and Central Asia,April 2010,"Oil, Gas",12635329400.0,12635329400.0,108.0,https://eiti.org/files/Kazakhstan%202007%20EITI%20Report.pdf,,,x,,,,not specified,no
Kazakhstan2008,2008.0,Kazakhastan,Europe and Central Asia,April 2010,"Oil, Gas",21000131830.0,21000131830.0,109.0,https://eiti.org/files/Kazakhstan%202008%20EITI%20Report.pdf,,,x,,,,not specified,no
Kazakhstan2009,2009.0,Kazakhastan,Europe and Central Asia,May 2011,"Oil, Gas, Mining",12722411270.0,12971087110.0,123.0,https://eiti.org/files/Kazakhstan%202009%20EITI%20Report.pdf,,,x,,,,not specified,no
Kazakhstan2010,2010.0,Kazakhastan,Europe and Central Asia,December 2012,"Oil, Gas, Mining",20754211560.0,20787323350.0,164.0,https://eiti.org/files/Kazakhstan-2010-EITI-Report.pdf,x,,x,,,,not specified,no
Kazakhstan2011,2011.0,Kazakhastan,Europe and Central Asia,December 2012,"Oil, Gas, Mining",28779202170.0,28858076750.0,167.0,https://eiti.org/files/Kazakhstan-2011-EITI-Report.pdf,x,,x,,,,not specified,no
