MEASURE,,,US Dollars at current prices and current exchange rates in millions,,,,,,,,,,Percentage of total trade in goods and services,,,,,,,,
FLOW,,,Exports,,,,Imports,,,Balance,,,Exports,,,Imports,,,Balance,,
SERIES,,,Total trade in services ,Total trade in goods and services,Total trade in goods and services (US$),Total trade in goods,Total trade in services ,Total trade in goods and services,Total trade in goods,Total trade in services ,Total trade in goods and services,Total trade in goods,Total trade in services ,Total trade in goods and services,Total trade in goods,Total trade in services ,Total trade in goods and services,Total trade in goods,Total trade in services ,Total trade in goods and services,Total trade in goods
YEAR,ECONOMY,Lookup,,,,,,,,,,,,,,,,,,,
2000,Mali,2000_Mali,99.043,644.188,644188000.0,545.145,334.872,926.941,592.069,-235.829,-282.753,-46.924,15.3748595131,100.0,84.6251404869,36.1265711626,100.0,63.8734288374,..,..,..
2000,Mauritania,2000_Mauritania,46.90702854,401.40702854,401407028.54,354.5,148.91878764,603.11878764,454.2,-102.0117591,-201.7117591,-99.7,11.6856520202,100.0,88.3143479798,24.6914522797,100.0,75.3085477203,..,..,..
2000,Mongolia,2000_Mongolia,77.7,613.5,613500000.0,535.8,162.8,771.2,608.4,-85.1,-157.7,-72.6,12.6650366748,100.0,87.3349633252,21.1099585062,100.0,78.8900414938,..,..,..
2000,Mozambique,2000_Mozambique,325.4,689.4,689400000.0,364.0,445.8,1491.8,1046.0,-120.4,-802.4,-682.0,47.2004641717,100.0,52.7995358283,29.883362381,100.0,70.116637619,..,..,..
2000,Niger,2000_Niger,37.522,320.614,320614000.0,283.092,131.888,455.545,323.657,-94.366,-134.931,-40.565,11.7031695434,100.0,88.2968304566,28.9516952222,100.0,71.0483047778,..,..,..
2000,Nigeria,2000_Nigeria,1832.9,20964.9,20964900000.0,19132.0,3300.18,12017.19,8717.01,-1467.28,8947.71,10414.99,8.7427080501,100.0,91.2572919499,27.4621604551,100.0,72.5378395449,..,..,..
2000,Norway,2000_Norway,17717.7,78110.6,78110600000.0,60392.9,14991.4,49475.9,34484.5,2726.3,28634.7,25908.4,22.6828369005,100.0,77.3171630995,30.3004088859,100.0,69.6995911141,..,..,..
2000,Peru,2000_Peru,1555.48,8510.39,8510389999.999999,6954.91,2290.33,9647.9,7357.57,-734.85,-1137.51,-402.66,18.2774232438,100.0,81.7225767562,23.7391556712,100.0,76.2608443288,..,..,..
2000,Sierra Leone,2000_Sierra Leone,42.249,55.045,55045000.0,12.796,112.846,249.765,136.919,-70.597,-194.72,-124.123,76.7535652648,100.0,23.2464347352,45.1808700178,100.0,54.8191299822,..,..,..
2000,Timor-Leste,2000_Timor-Leste,_,..,..,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
2000,Togo,2000_Togo,61.777,423.597,423597000.0,361.82,117.503,602.116,484.613,-55.726,-178.519,-122.793,14.5839087623,100.0,85.4160912377,19.5150103967,100.0,80.4849896033,..,..,..
2000,Trinidad and Tobago,2000_Trinidad and Tobago,553.8,4844.1,4844100000.0,4290.3,387.7,3709.2,3321.5,166.1,1134.9,968.8,11.4324642348,100.0,88.5675357652,10.4523886552,100.0,89.5476113448,..,..,..
2000,Tanzania,2000_Tanzania,627.401,1361.001,1361001000.0,733.6,682.401,2050.001,1367.6,-55.0,-689.0,-634.0,46.0984966212,100.0,53.9015033788,33.2878374206,100.0,66.7121625794,..,..,..
2000,Yemen,2000_Yemen,210.865,4008.095,4008095000.0,3797.23,809.439,3293.869,2484.43,-598.574,714.226,1312.8,5.2609780956,100.0,94.7390219044,24.5741102636,100.0,75.4258897364,..,..,..
2000,Zambia,2000_Zambia,115.01,871.97,871970000.0,756.96,334.627,1312.317,977.69,-219.617,-440.347,-220.73,13.1896739567,100.0,86.8103260433,25.4989457578,100.0,74.5010542422,..,..,..
2001,Afghanistan,2001_Afghanistan,-,..,..,708.9,-,-,1645.0,-,-,-936.1,-,-,99.9661203833,-,-,96.19670885,..,..,..
2001,Albania,2001_Albania,534.3,838.8,838800000.0,304.5,444.1,1775.7,1331.6,90.2,-936.9,-1027.1,63.6981402003,100.0,36.3018597997,25.0098552683,100.0,74.9901447317,..,..,..
2001,Azerbaijan,2001_Azerbaijan,289.831,2368.761,2368761000.0,2078.93,664.865,2129.925,1465.06,-375.034,238.836,613.87,12.2355526792,100.0,87.7644473208,31.2154183833,100.0,68.7845816167,..,..,..
2001,Burkina Faso,2001_Burkina Faso,36.511,260.003,260003000.0,223.492,141.204,650.454,509.25,-104.693,-390.451,-285.758,14.0425302785,100.0,85.9574697215,21.7085297346,100.0,78.2914702654,..,..,..
2001, Cameroon,2001_ Cameroon,931.251,2822.721,2822721000.0,1891.47,1127.02,2924.4,1797.38,-195.769,-101.679,94.09,32.9912520579,100.0,67.0087479421,38.5385036247,100.0,61.4614963753,..,..,..
2001,Central African Republic,2001_Central African Republic,17.89536436,160.17838036,160178380.36,142.283016,96.1381318,203.1774568,107.039325,-78.24276744,-42.99907644,35.243691,11.1721471523,100.0,88.8278528477,47.3173221647,100.0,52.6826778353,..,..,..
2001, Chad,2001_ Chad,62.15085418,250.80930218,250809302.18,188.658448,333.15553469,848.39824369,515.242709,-271.00468051,-597.58894151,-326.584261,24.780123241,100.0,75.219876759,39.2687676062,100.0,60.7312323938,..,..,..
2001,Republic of the Congo,2001_Republic of the Congo,143.846,2199.126,2199126000.0,2055.28,852.165,1533.513,681.348,-708.319,665.613,1373.932,6.5410531275,100.0,93.4589468725,55.569466969,100.0,44.430533031,..,..,..
2001,Democratic Republic of Congo,2001_Democratic Republic of Congo,73.06591919,953.47283973,953472839.73,880.40692054,251.86545524,1041.37637733,789.51092209,-178.79953605,-87.9035376,90.89599845,7.6631358698,100.0,92.3368641302,24.1858237543,100.0,75.8141762457,..,..,..
2001, Equatorial Guinea,2001_ Equatorial Guinea,16.0990221,2382.76346718,2382763467.1800003,2366.66444508,1060.53714,2163.95715749,1103.42001749,-1044.4381179,218.80630969,1263.24442759,0.6756449946,100.0,99.3243550054,49.0091560422,100.0,50.9908439578,..,..,..
2001, Gabon,2001_ Gabon,168.32,2782.09,2782090000.0,2613.77,709.779,1557.241,847.462,-541.459,1224.849,1766.308,6.0501277816,100.0,93.9498722184,45.5792648665,100.0,54.4207351335,..,..,..
2001,Ghana,2001_Ghana,531.659,2398.759,2398759000.0,1867.1,606.019,3574.529,2968.51,-74.36,-1175.77,-1101.41,22.1639189264,100.0,77.8360810736,16.9538140549,100.0,83.0461859451,..,..,..
2001,Guatemala,2001_Guatemala,1044.84,3904.64,3904640000.0,2859.8,927.892,6069.902,5142.01,116.948,-2165.262,-2282.21,26.7589329618,100.0,73.2410670382,15.2867706925,100.0,84.7132293075,..,..,..
2001, Guinea,2001_ Guinea,102.817,833.863,833863000.0,731.046,318.953,880.853,561.9,-216.136,-46.99,169.146,12.330202923,100.0,87.669797077,36.2095605056,100.0,63.7904394944,..,..,..
2001,Indonesia,2001_Indonesia,_,..,..,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
2001,Iraq,2001_Iraq,-,..,..,12872.1,-,-,11217.806253,-,-,1654.293747,-,-,98.4256002447,-,-,85.2390979791,..,..,..
2001,Kazakhstan,2001_Kazakhstan,1260.21,10188.02,10188020000.0,8927.81,2634.6,10579.04,7944.44,-1374.39,-391.02,983.37,12.3695281321,100.0,87.6304718679,24.9039610399,100.0,75.0960389601,..,..,..
2001,Kyrgyzstan,2001_Kyrgyzstan,82.779,563.036,563036000.0,480.257,124.75,573.91,449.16,-41.971,-10.874,31.097,14.7022570493,100.0,85.2977429507,21.7368576955,100.0,78.2631423045,..,..,..
2001,Liberia,2001_Liberia,-,..,..,-,-,-,155.0,-,-,-,-,-,-,-,-,54.3042445259,..,..,..
