Time,Country Name,Lookup,Merchandise exports (current US$) [TX.VAL.MRCH.CD.WT],Fuel exports (% of merchandise exports) [TX.VAL.FUEL.ZS.UN],Ores and metals exports (% of merchandise exports) [TX.VAL.MMTL.ZS.UN],Extractive Exports(% Merchandise Exports),Extractive Exports (current US$),"School enrollment, primary (% net) [SE.PRM.NENR]","School enrollment, primary (% gross) [SE.PRM.ENRR]","Adjusted net enrollment rate, primary (% of primary school age children) [SE.PRM.TENR]"
2001.0,Peru,2001_Peru,7013000000.0,7.315619813993108,37.01108141875895,0.4432670123275206,3108631557.452902,97.95915,121.24159,99.87212
2001.0,Sierra Leone,2001_Sierra Leone,29000000.0,..,..,..,..,..,84.86233,..
2001.0,Tanzania,2001_Tanzania,851300000.0,0.16791852742135463,8.818334279874286,0.0898625280729564,76499970.14850779,57.79153,74.32577,57.82782
2001.0,Timor-Leste,2001_Timor-Leste,..,..,..,..,..,..,118.19145,..
2001.0,Togo,2001_Togo,357000000.0,0.4092191022115524,20.50868359694877,0.20917902699160323,74676912.63600236,85.45472,114.91089,87.60301
2001.0,Trinidad and Tobago,2001_Trinidad and Tobago,4280000000.0,48.87110865014762,0.15070051149963629,0.49021809161647256,2098133432.1185026,93.063,101.12341,97.77076
2001.0,"Yemen, Rep.","2001_Yemen, Rep.",3374000000.0,95.15857329665273,0.07059450073410711,0.9522916779738684,3213032121.483832,65.84151,78.74638,66.29753
2001.0,Zambia,2001_Zambia,987411000.0,1.037113373573874,70.52823095024503,0.715653443238189,706644082.0412635,70.46635,84.1201,71.13138
2002.0,Afghanistan,2002_Afghanistan,100000000.0,..,..,..,..,..,69.59158,..
2002.0,Albania,2002_Albania,339550000.0,2.0096429613750204,3.432559839686047,0.05442202801061067,18478999.61100285,..,101.60069,..
2002.0,Azerbaijan,2002_Azerbaijan,2167400000.0,88.92237478785503,0.04632253564764103,0.8896869732350268,1928307545.789597,84.82565,98.34943,84.91034
2002.0,Burkina Faso,2002_Burkina Faso,246742000.0,0.0028183703945005253,0.05094737398028489,0.0005376574437478542,132662.67298523305,36.71742,47.05245,36.71742
2002.0,Cameroon,2002_Cameroon,1802000000.0,49.1871088354744,4.324370574882079,0.5351147941035648,964276858.9746237,..,97.95034,..
2002.0,Central African Republic,2002_Central African Republic,147000000.0,0.009590354417910047,22.112300907220334,0.22121891261638243,32519180.154608216,..,70.14053,..
2002.0,Chad,2002_Chad,185000000.0,..,..,..,..,56.25016,70.22144,56.4261
2002.0,"Congo, Dem. Rep.","2002_Congo, Dem. Rep.",1132100000.0,..,..,..,..,..,65.72588,..
2002.0,"Congo, Rep.","2002_Congo, Rep.",2280000000.0,..,..,..,..,..,105.50265,..
2002.0,Equatorial Guinea,2002_Equatorial Guinea,2117000000.0,..,..,..,..,74.03042,110.3929,74.04732
2002.0,Gabon,2002_Gabon,2409295425.0,83.81793587779866,1.774458108179382,0.8559239398597804,2062173632.4521441,..,143.20531,..
2002.0,Liberia,2002_Liberia,176100000.0,..,..,..,..,..,..,..
2002.0,Kyrgyz Republic,2002_Kyrgyz Republic,485500000.0,19.54728863975235,6.234336430906123,0.2578162507065847,125169789.71804687,86.24218,95.70814,93.18601
2002.0,Ghana,2002_Ghana,1850000000.0,..,..,..,..,61.92222,83.74326,62.7079
2002.0,Guatemala,2002_Guatemala,4162100000.0,8.556711967258147,0.6281566919821604,0.09184868659240308,382283418.4662409,88.01879,107.04911,89.34116
2002.0,Guinea,2002_Guinea,709000000.0,0.07374300795723734,71.62597351783904,0.7169971652579628,508350990.1678956,55.83514,70.00276,56.19131
